"opovržlivý, hanlivý","derogatory ","[de'rogetrɪ]","1","1541021600","1541079660"
"spustit ten zbytek testů","to execute the rest of tests","","3","1541036497","1541079697"
"build který projde","build that passed","","3","1541036506","1541079706"
"klidný, nehybný, pasivní","quiescent ","[kwɪˈesənt]","3","1541036596","1541079796"
"řešit, vyřídit, vytřídit","to sort out","","3","1541036611","1541079811"
"je zabranej svojí prací (nemá na nic jiného čas)","is caught up in his work","","3","1541036629","1541079829"
"ten druhý se vztahuje k tomu, jak my...","the second one is related to how we...","","3","1541036644","1541079844"
"problém má potencionálně omezený dopad(efekt)","the problem has potentially limited effect","","3","1541036653","1541079853"
"stát se úzkým hrdlem (láhve)","to become the bottleneck","","3","1541036741","1541079941"
"zanedbávání povinnosti","neglect of duty","","1","1541022068","1541080128"
"Sie nimmt es an","she assumes that","","3","1541004913","1541080157"
"make happier","to cheer someone up","","3","1540994001","1541080401"
"end a phone call","to hang up","","3","1540994033","1541080433"
"ovlivnit něco bez/významně","affect sth in/significantly","","2","1541014302","1541080558"
"zpomalovat","to slow down","","3","1540994197","1541080597"
"nasadit smutný výraz","to put on a sad expression","","3","1540994222","1541080622"
"rozhodný","resolute ","[ˈrezəˌluːt]","3","1541004922","1541080797"
"přivést sb k nepříčetnosti","drive sb into a frenzy","","1","1541042127","1541081140"
"provést preventivní opatření","take preventive measures","","1","1541021596","1541082076"
"najít si čas pro dělání sth (nějakou činnost)","get round to doing sth","","1","1541033399","1541082169"
"rozšířit naší aplikaci","scale out our application","","1","1541013797","1541082174"
"předvést důležitou roli","to perform an important role","","1","1541022540","1541083020"
"detaily nejsou skutečně důležité","the details don't really matter","","1","1541022549","1541083029"
"kniha receptů","recipe  book","[ˈresɪpɪ]","1","1541022577","1541083057"
"nemít rád, nemít v oblibě co","have no taste for sth","","4","1541014570","1541083690"
"během hodiny","within one hour","","4","1541014811","1541083931"
"udělat sth okamžitě","do sth straight away","","2","1540939488","1541084640"
"bezcitný / citlivý","callous [ˈkæləs] / sensitive","","3","1541042136","1541085336"
"malicherný, puntičkářský","petty","","3","1541042140","1541085340"
"nepříznivě ovlivňují po léta","adversely affected for years","","3","1541042182","1541085382"
"případné problémy","potential problems","","3","1541042195","1541085395"
"not existing or occurring at the same time.","asynchronous /eɪˈsɪŋkrənəs/","","2","1541033566","1541085406"
"záslužný, přínosný","meritorious ","[ˌmerɪˈtɔːrɪəs]","2","1541033718","1541085558"
"v souladu s mezinárodními standardy","in compliance with international standards","","4","1541014852","1541085608"
"nejsou tak výhodné jako","aren't as convenient as","","4","1541014875","1541085675"
"snaží se vydělat nějaké peníze","she struggles to earn some money","","4","1541016595","1541085715"
"nákladní auto","truck","","4","1541016599","1541085719"
"otužilý","hardy ","[ˈhɑːdɪ]","2","1541034046","1541085886"
"třídění odpadu","waste separation","","2","1541034055","1541085895"
"hledám ten klíč","I'm looking for the key","","2","1541034199","1541086039"
"ledový den/voda","a chilly day/water","","2","1541034233","1541086073"
